19:10:46:467 [ALWAYS]	GUDE Logging Started
19:10:46:481 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:10:46:481 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:10:46:481 [ERROR]	Initialize resume cache pointer failure
19:10:46:481 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
19:10:46:481 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
19:10:50:893 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
19:10:50:894 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:10:50:894 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:10:50:894 [ERROR]	Initialize resume cache pointer failure
19:10:50:894 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
19:10:50:894 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
